cohort,id,ticker,stage,detected_at,detected_at_iso,price,actionable_rank,quality_label,quality_score,ross_score,rv15,change_5s_pct,change_15s_pct,change_30s_pct,timeliness_label,coverage,classification,stored_max_1m_pct,stored_max_5m_pct,stored_max_15m_pct,stored_time_to_peak_seconds,first_ts,last_ts,return_30s_pct,mfe_30s_pct,mae_30s_pct,return_60s_pct,mfe_60s_pct,mae_60s_pct,return_120s_pct,mfe_120s_pct,mae_120s_pct,return_300s_pct,mfe_300s_pct,mae_300s_pct,return_900s_pct,mfe_900s_pct,mae_900s_pct
ACTIONABLE,79730,HDSN,BREAKOUT,1786992505.0,2026-08-17T18:48:25+00:00,6.0899,A,CLEAN,82,100,103.26,0.08052588331963761,0.24526748971194223,0.24526748971194223,PRE_IGNITION,FINAL_15M,MIXED,,,,,1786991295.0,1786993695.0,-0.21511026453635562,0.08374521749126007,-0.12479679469284966,-0.08046109131513157,0.08374521749126007,-0.21511026453635562,0.16420630880638054,0.08374521749126007,-0.21511026453635562,0.2479515262976406,0.330054680700842,-0.21511026453635562,0.08374521749126007,0.6584672983136031,-0.2446674001215121
ACTIONABLE,79613,AGRZ,BREAKOUT,1786992499.0,2026-08-17T18:48:19+00:00,0.279,A,CLEAN,100,100,29.554497354497354,0.540540540540535,0.3597122302158251,0.3597122302158251,PRE_IGNITION,FINAL_15M,MIXED,,,,,1786991295.0,1786993695.0,-1.4336917562724039,0.9318996415770497,-1.469534050179233,-0.2508960573476826,0.9318996415770497,-1.469534050179233,1.3620071684587787,1.3620071684587787,-1.469534050179233,0.21505376344086446,1.3620071684587787,-1.469534050179233,7.491039426523294,11.111111111111093,-4.838709677419361
ACTIONABLE,79498,NUVB,BREAKOUT,1786992490.0,2026-08-17T18:48:10+00:00,6.59,A,CLEAN,100,100,80.47058823529412,0.3044140030441289,0.40833739639198896,0.40833739639198896,PRE_IGNITION,FINAL_15M,MIXED,,,,,1786991295.0,1786993680.0,-0.531107738998482,-0.06980273141122817,-0.4886191198785972,-0.46585735963580177,-0.06980273141122817,-0.6069802731411222,-0.29438543247344295,0.0,-0.6069802731411222,-0.39757207890743773,0.22761760242793194,-0.6069802731411222,-0.531107738998482,0.22761760242793194,-0.6069802731411222
ACTIONABLE,79385,ORMP,BREAKOUT,1786992358.0,2026-08-17T18:45:58+00:00,4.53,A,CLEAN,100,88,62.56,0.44345898004436446,0.44345898004436446,0.44345898004436446,PRE_IGNITION,FINAL_15M,MIXED,,,,,1786991235.0,1786993515.0,0.22075055187638082,0.44150110375273943,0.22075055187638082,0.22075055187638082,0.44150110375273943,0.22075055187638082,0.22075055187638082,0.44150110375273943,0.22075055187638082,0.3134657836644461,0.44150110375273943,0.22075055187638082,0.6622516556291203,0.6622516556291203,0.22075055187638082
ACTIONABLE,79360,GBTG,EARLY,1786992357.0,2026-08-17T18:45:57+00:00,9.456,A,CLEAN,82,75,1655.06,0.06349206349207659,0.06349206349207659,0.06349206349207659,PRE_IGNITION,FINAL_15M,MIXED,,,,,1786991160.0,1786993545.0,-0.06345177664974777,-0.010575296108283894,-0.06345177664974777,-0.05922165820642089,-0.010575296108283894,-0.06345177664974777,-0.05816412859559472,-0.010575296108283894,-0.06345177664974777,-0.06345177664974777,-0.010575296108283894,-0.06345177664974777,-0.010575296108283894,0.031725888324873885,-0.06345177664974777
ACTIONABLE,79294,GFR,EARLY,1786992353.0,2026-08-17T18:45:53+00:00,6.32,A,CLEAN,82,75,58.87378640776699,0.0,0.0,0.07917656373712667,PRE_IGNITION,FINAL_15M,MIXED,,,,,1786991175.0,1786993530.0,0.31645569620253333,0.31645569620253333,0.03797468354429512,0.039556962025311115,0.31645569620253333,0.03797468354429512,0.41139240506329333,0.41139240506329333,0.03797468354429512,0.31645569620253333,0.41139240506329333,0.03797468354429512,0.9303797468354302,1.2658227848101333,0.03797468354429512
ACTIONABLE,79248,AIAI,IGNITION,1786992350.0,2026-08-17T18:45:50+00:00,5.24,A,CLEAN,100,88,26.68,1.1583011583011782,1.1583011583011782,0.3831417624521105,PRE_IGNITION,FINAL_15M,MIXED,,,,,1786991160.0,1786993530.0,0.5725190839694472,0.5725190839694472,0.5725190839694472,0.5725190839694472,0.5725190839694472,0.5725190839694472,0.5725190839694472,0.5725190839694472,0.5725190839694472,-0.5725190839694694,1.049618320610679,-1.1450381679389388,-3.244274809160308,1.049618320610679,-3.6259541984732913
ACTIONABLE,79242,BBD,BREAKOUT,1786992349.0,2026-08-17T18:45:49+00:00,3.11,B,CLEAN,100,88,3.9679098005203817,0.3225806451612856,0.1578049016134564,0.3225806451612856,PRE_IGNITION,FINAL_15M,MIXED,,,,,1786991145.0,1786993545.0,-0.18327974276527437,-0.009646302250798655,-0.3215434083601254,-0.1607717041800627,-0.009646302250798655,-0.3215434083601254,-0.16398713826365485,-0.009646302250798655,-0.3215434083601254,-0.1607717041800627,0.0,-0.3215434083601254,-0.1607717041800627,0.0,-0.3215434083601254
ACTIONABLE,79202,INTR,BREAKOUT,1786992348.0,2026-08-17T18:45:48+00:00,5.25,A,CLEAN,82,88,26.80205128205128,0.2865329512893977,0.2865329512893977,0.3056935422239171,PRE_IGNITION,FINAL_15M,MIXED,,,,,1786991145.0,1786993545.0,-0.09523809523809268,-0.026666666666674832,-0.3619047619047633,0.09523809523810378,0.19047619047618536,-0.3619047619047633,0.02666666666666373,0.19047619047618536,-0.3619047619047633,0.18476190476188759,0.3809523809523707,-0.3619047619047633,0.19047619047618536,0.3809523809523707,-0.3619047619047633
ACTIONABLE,79210,EBS,BREAKOUT,1786992348.0,2026-08-17T18:45:48+00:00,4.4787,B,CLEAN,100,75,0.11,0.2237787275941594,0.30683090705487803,0.30907747094000015,PRE_IGNITION,FINAL_15M,MIXED,,,,,1786991145.0,1786993530.0,-0.08261325831157018,0.029026279947319544,-0.2523053564650546,-0.08261325831157018,0.029026279947319544,-0.2523053564650546,0.14066581820617596,0.2523053564650546,-0.2523053564650546,0.363944894723911,0.47558443298278963,-0.2523053564650546,0.18978721504008256,0.47558443298278963,-0.2523053564650546
ACTIONABLE,79142,GPRO,EARLY,1786992344.0,2026-08-17T18:45:44+00:00,0.5921,A,CLEAN,82,88,48.0739299610895,0.2879403794037838,0.06760182524927494,0.18612521150591643,PRE_IGNITION,FINAL_15M,FALSE_POSITIVE,,,,,1786991160.0,1786993515.0,-0.10133423408207332,-0.10133423408207332,-0.10133423408207332,-0.10133423408207332,-0.10133423408207332,-0.28711366323255216,-0.15200135112312108,-0.10133423408207332,-0.28711366323255216,-0.5911163654787943,-0.10133423408207332,-1.2666779260260053,0.15200135112312108,0.16889039013681106,-1.2666779260260053
ACTIONABLE,79128,GSM,BREAKOUT,1786992343.0,2026-08-17T18:45:43+00:00,4.245,A,CLEAN,82,88,95.2784090909091,0.1179245283018826,0.20536789179237402,0.20536789179237402,PRE_IGNITION,FINAL_15M,MIXED,,,,,1786991145.0,1786993530.0,-0.10836277974086705,0.0,0.0,0.0,0.0,-0.10836277974086705,0.0,0.0,-0.1601884570082479,0.0,0.0,-0.1601884570082479,0.2355712603062443,0.2355712603062443,-0.1601884570082479
ACTIONABLE,79096,VWAV,BREAKOUT,1786992341.0,2026-08-17T18:45:41+00:00,1.395,A,CLEAN,100,75,16.261946902654866,0.547787227908314,0.547787227908314,0.547787227908314,PRE_IGNITION,FINAL_15M,MIXED,,,,,1786991130.0,1786993530.0,0.0,0.0,0.0,0.0,0.35125448028672235,0.0,-0.28673835125447855,0.35125448028672235,0.0,0.0,0.35842293906809264,-0.35842293906810374,0.0,0.35842293906809264,-1.0752688172043112
ACTIONABLE,79090,GEMI,BREAKOUT,1786992340.0,2026-08-17T18:45:40+00:00,3.615,A,CLEAN,82,88,108.09615384615384,0.277392510402219,0.277392510402219,0.277392510402219,PRE_IGNITION,FINAL_15M,MIXED,,,,,1786991145.0,1786993515.0,0.13831258644536604,0.0,-0.30705394190871926,0.2766251728907321,0.2766251728907321,-0.30705394190871926,0.20746887966804906,0.4149377593360981,-0.30705394190871926,0.2766251728907321,0.4149377593360981,-0.30705394190871926,0.14107883817426892,0.4149377593360981,-0.30705394190871926
ACTIONABLE,79092,CDZI,BREAKOUT,1786992340.0,2026-08-17T18:45:40+00:00,3.265,A,CLEAN,100,88,575.94,0.4429951393589038,0.4429951393589038,0.4429951393589038,PRE_IGNITION,FINAL_15M,MIXED,,,,,1786991145.0,1786993530.0,-0.34303215926493325,0.0,-0.34609494640123195,0.0,0.0,-0.40122511485451984,0.0,0.0,-0.40122511485451984,-0.9188361408882129,0.07350689127105792,-0.6125574272588086,-0.6125574272588086,0.07350689127105792,-1.071975497702915
ACTIONABLE,79071,RUM,BREAKOUT,1786992339.0,2026-08-17T18:45:39+00:00,8.3509,A,CLEAN,100,100,7.172391857506361,0.19076184763044957,0.19076184763044957,0.19076184763044957,PRE_IGNITION,FINAL_15M,MIXED,,,,,1786991130.0,1786993530.0,-0.3101462117855558,-0.023949514423582396,-0.37001999784452844,-0.31733106611261386,-0.023949514423582396,-0.37001999784452844,-0.37001999784452844,-0.023949514423582396,-0.4298937839035344,-0.37001999784452844,-0.017962135817695124,-0.6095151420804745,-1.4800799913781693,-0.017962135817695124,-1.6872432911422486
ACTIONABLE,78985,IDN,BREAKOUT,1786992332.0,2026-08-17T18:45:32+00:00,2.855,A,CLEAN,100,88,39.256410256410255,0.7054673721340388,0.7054673721340388,0.7054673721340388,PRE_IGNITION,FINAL_15M,MIXED,,,,,1786991130.0,1786993530.0,0.0,0.0,0.0,-0.7495621716287149,0.1295971978984234,0.0,0.0,0.1295971978984234,-0.7495621716287149,0.04203152364272711,0.7005253940455258,-0.7495621716287149,0.5814360770577842,1.2259194395796813,-0.7495621716287149
ACTIONABLE,78907,AEYE,BREAKOUT,1786992267.0,2026-08-17T18:44:27+00:00,8.3099,A,CLEAN,100,100,67.0,0.6041162227603092,0.6041162227603092,0.6041162227603092,PRE_IGNITION,FINAL_15M,USEFUL,,,,,1786991100.0,1786993395.0,0.9639105163720352,1.5656024741573127,-0.34777795159990355,1.0842489079290862,1.6859408657143637,-0.34777795159990355,1.0842489079290862,1.6859408657143637,-0.34777795159990355,1.6582630356562378,2.1672944319426124,-0.34777795159990355,0.521065235442042,2.2864294395841034,-0.34777795159990355
ACTIONABLE,78851,PCT,EARLY,1786992261.0,2026-08-17T18:44:21+00:00,7.115,A,CLEAN,100,88,26.24538745387454,0.07032348804500987,0.07454604273036125,0.10411390624120997,PRE_IGNITION,FINAL_15M,MIXED,,,,,1786991055.0,1786993455.0,0.0,0.07027406886859211,-0.05481377371749918,-0.035137034434296055,0.07027406886859211,-0.07027406886858101,0.0,0.07027406886859211,-0.07027406886858101,-0.14054813773717312,0.07027406886859211,-0.21082220660576523,0.28109627547434624,0.33450456781447535,-0.28109627547435734
ACTIONABLE,78831,FBIO,BREAKOUT,1786992259.0,2026-08-17T18:44:19+00:00,2.825,A,CLEAN,100,88,22.4,0.5338078291815096,0.5338078291815096,0.5338078291815096,PRE_IGNITION,FINAL_15M,MIXED,,,,,1786991055.0,1786993440.0,0.0,0.1769911504424737,-0.13097345132744298,0.1769911504424737,0.1769911504424737,-0.1769911504424848,-0.13097345132744298,0.1769911504424737,-0.1769911504424848,0.1769911504424737,0.8849557522123908,-0.1769911504424848,0.1769911504424737,0.8849557522123908,-0.1769911504424848
ACTIONABLE,78810,WFF,STAIRCASE,1786992255.0,2026-08-17T18:44:15+00:00,1.85,B,CLEAN,100,88,6.353643814727746e-05,-0.5376344086021501,0.0,0.05408328826392861,LATE,FINAL_15M,USEFUL,,,,,1786991055.0,1786993440.0,3.7891891891891794,5.405405405405395,-1.0810810810810811,3.0054054054053925,5.405405405405395,-1.0810810810810811,0.540540540540535,5.405405405405395,-1.0810810810810811,1.0108108108108027,5.405405405405395,-1.6216216216216273,1.8918918918918948,5.405405405405395,-1.6216216216216273
